defender,block_rate,fp_rate,p50_ms,p95_ms,cost_usd,n,is_cascade
AEGIS (XGB+Haiku),0.9988,0.0009,1.06,2.989,0.0497,2763,True
AEGIS (XGB+GPT-4o),0.9988,0.0009,1.127,3.1,0.0707,2763,True
AEGIS (IForest+Haiku),0.9414,0.0,2145.966,2911.468,4.1808,4469,True
AEGIS-rules (L1),0.012,0.0,0.688,1.694,0,5525,False
Keyword blacklist,0.0249,0.0,0.004,0.007,0,5525,False
Llama-Guard-3,0.671,0.0005,73.231,105.736,0,5525,False
Claude Sonnet 4.6,0.9567,0.0,3829.077,5753.689,1.289,500,False
Claude Haiku 4.5,0.9663,0.0,2211.204,3058.499,5.3162,5525,False
GPT-4o,0.9567,0.0,1384.909,2031.4,0.6259,500,False
GPT-4o-mini,0.988,0.1188,1203.821,1802.597,0.3597,5525,False
